Año,Jugador,Club,Puntos
1956,Stanley Matthews,Blackpool F. C.,47
1957,Alfredo Di Stéfano,Real Madrid C. F.,72
1958,Raymond Kopa,Real Madrid C. F.,71
1959,Alfredo Di Stéfano,Real Madrid C. F.,80
1960,Luis Suárez,C. F. Barcelona,54
1961,Omar Sívori,Juventus F. C.,46
1962,Josef Masopust,F. K. Dukla Praga,65
1963,Lev Yashin,F. K. Dinamo Moskva,73
1964,Denis Law,Manchester United F. C.,61
1965,Eusébio,S. L. Benfica,67
1966,Bobby Charlton,Manchester United F. C.,81
1967,Flórián Albert,Ferencváros T. C.,68
1968,George Best,Manchester United F. C.,61
1969,Gianni Rivera,A. C. Milan,83
1970,Gerd Müller,F. C. Bayern,77
1971,Johan Cruyff,A. F. C. Ajax,116
1972,Franz Beckenbauer,F. C. Bayern,81
1973,Johan Cruyff,A. F. C. Ajax / F. C. Barcelona,96
1974,Johan Cruyff,F. C. Barcelona,116
1975,Oleg Blojín,F. K. Dynamo Kiev,122
1976,Franz Beckenbauer,F. C. Bayern,91
1977,Allan Simonsen,Borussia Mönchengladbach,74
1978,Kevin Keegan,Hamburger S. V.,87
1979,Kevin Keegan,Hamburger S. V.,118
1980,Karl-Heinz Rummenigge,F. C. Bayern,122
1981,Karl-Heinz Rummenigge,F. C. Bayern,106
1982,Paolo Rossi,Juventus F. C.,115
1983,Michel Platini,Juventus F. C.,110
1984,Michel Platini,Juventus F. C.,128
1985,Michel Platini,Juventus F. C.,127
1986,Igor Belánov,F. K. Dynamo Kiev,84
1987,Ruud Gullit,PSV Eindhoven / A. C. Milan,106
1988,Marco van Basten,A. C. Milan,129
1989,Marco van Basten,A. C. Milan,119
1990,Lothar Matthäus,F. C. Internazionale,137
1991,Jean-Pierre Papin,Olympique de Marsella,141
1992,Marco van Basten,A. C. Milan,98
1993,Roberto Baggio,Juventus F. C.,142
1994,Hristo Stoichkov,F. C. Barcelona,210
1995,George Weah,París Saint-Germain F. C. / A. C. Milan,144
1996,Matthias Sammer,B. V. Borussia,144
1997,Ronaldo,F. C. Barcelona / F. C. Internazionale,222
1998,Zinedine Zidane,Juventus F. C.,244
1999,Rivaldo,F. C. Barcelona,219
2000,Luís Figo,F. C. Barcelona / Real Madrid C. F.,197
2001,Michael Owen,Liverpool F. C.,176
2002,Ronaldo,F. C. Internazionale / Real Madrid C. F.,169
2003,Pavel Nedvěd,Juventus F. C.,190
2004,Andriy Shevchenko,A. C. Milan,175
2005,Ronaldinho,F. C. Barcelona,225
2006,Fabio Cannavaro,Juventus F. C. / Real Madrid C. F.,173
2007,Kaká,A. C. Milan,444
2008,Cristiano Ronaldo,Manchester United F. C.,446
2009,Lionel Messi,F. C. Barcelona,473
2010,Lionel Messi,F. C. Barcelona,"22,65"
2011,Lionel Messi,F. C. Barcelona,"47,88"
2012,Lionel Messi,F. C. Barcelona,"41,60"
2013,Cristiano Ronaldo,Real Madrid C. F.,"27,99"
2014,Cristiano Ronaldo,Real Madrid C. F.,"37,66"
2015,Lionel Messi,F. C. Barcelona,"41,33"
2016,Cristiano Ronaldo,Real Madrid C. F.,745
2017,Cristiano Ronaldo,Real Madrid C. F.,946
2018,Luka Modrić,Real Madrid C. F.,753
2019,Lionel Messi,F. C. Barcelona,686
2021,Lionel Messi,F. C. Barcelona / París Saint-Germain F. C.,613
2022,Karim Benzema,Real Madrid C. F.,549
2023,Lionel Messi,París Saint-Germain F. C./.Inter Miami C. F.,462
2024,Rodri Hernández,Manchester City F. C.,1170
2025,Ousmane Dembélé,París Saint-Germain F. C.,1380
